,equipo,jornada,gf,gc,gt,local,gd,pj,pg,pe,pp,pts,gf_a,gc_a,gt_a,gd_a,pj_a,pg_a,pe_a,pp_a,pts_a
0,América,1,2,1,3,L,1,1,1,0,0,3,2,1,3,1,1,1,0,0,3
1,América,2,0,1,1,V,-1,1,0,0,1,0,2,2,4,0,2,1,0,1,3
2,América,3,2,0,2,L,2,1,1,0,0,3,4,2,6,2,3,2,0,1,6
3,América,4,1,1,2,V,0,1,0,1,0,1,5,3,8,2,4,2,1,1,7
4,América,5,1,0,1,L,1,1,1,0,0,3,6,3,9,3,5,3,1,1,10
5,América,6,2,1,3,L,1,1,1,0,0,3,8,4,12,4,6,4,1,1,13
6,América,7,0,3,3,V,-3,1,0,0,1,0,8,7,15,1,7,4,1,2,13
7,América,8,2,0,2,L,2,1,1,0,0,3,10,7,17,3,8,5,1,2,16
8,América,9,2,0,2,V,2,1,1,0,0,3,12,7,19,5,9,6,1,2,19
9,América,10,2,1,3,L,1,1,1,0,0,3,14,8,22,6,10,7,1,2,22
10,América,11,3,0,3,V,3,1,1,0,0,3,17,8,25,9,11,8,1,2,25
11,América,12,1,0,1,V,1,1,1,0,0,3,18,8,26,10,12,9,1,2,28
12,América,13,2,1,3,L,1,1,1,0,0,3,20,9,29,11,13,10,1,2,31
13,América,14,3,1,4,V,2,1,1,0,0,3,23,10,33,13,14,11,1,2,34
14,América,15,1,1,2,L,0,1,0,1,0,1,24,11,35,13,15,11,2,2,35
15,América,16,1,3,4,V,-2,1,0,0,1,0,25,14,39,11,16,11,2,3,35
16,América,17,1,0,1,V,1,1,1,0,0,3,26,14,40,12,17,12,2,3,38
17,Atlas,1,0,2,2,L,-2,1,0,0,1,0,0,2,2,-2,1,0,0,1,0
18,Atlas,2,0,1,1,V,-1,1,0,0,1,0,0,3,3,-3,2,0,0,2,0
19,Atlas,3,0,2,2,L,-2,1,0,0,1,0,0,5,5,-5,3,0,0,3,0
20,Atlas,4,0,0,0,V,0,1,0,1,0,1,0,5,5,-5,4,0,1,3,1
21,Atlas,5,1,1,2,L,0,1,0,1,0,1,1,6,7,-5,5,0,2,3,2
22,Atlas,6,1,0,1,V,1,1,1,0,0,3,2,6,8,-4,6,1,2,3,5
23,Atlas,7,3,0,3,L,3,1,1,0,0,3,5,6,11,-1,7,2,2,3,8
24,Atlas,8,0,0,0,V,0,1,0,1,0,1,5,6,11,-1,8,2,3,3,9
25,Atlas,9,3,1,4,L,2,1,1,0,0,3,8,7,15,1,9,3,3,3,12
26,Atlas,10,2,0,2,L,2,1,1,0,0,3,10,7,17,3,10,4,3,3,15
27,Atlas,11,1,0,1,V,1,1,1,0,0,3,11,7,18,4,11,5,3,3,18
28,Atlas,12,2,3,5,V,-1,1,0,0,1,0,13,10,23,3,12,5,3,4,18
29,Atlas,13,1,0,1,L,1,1,1,0,0,3,14,10,24,4,13,6,3,4,21
30,Atlas,14,1,3,4,L,-2,1,0,0,1,0,15,13,28,2,14,6,3,5,21
31,Atlas,15,0,0,0,V,0,1,0,1,0,1,15,13,28,2,15,6,4,5,22
32,Atlas,16,0,1,1,L,-1,1,0,0,1,0,15,14,29,1,16,6,4,6,22
33,Atlas,17,5,1,6,V,4,1,1,0,0,3,20,15,35,5,17,7,4,6,25
34,Cruz Azul,1,0,1,1,V,-1,1,0,0,1,0,0,1,1,-1,1,0,0,1,0
35,Cruz Azul,2,0,1,1,L,-1,1,0,0,1,0,0,2,2,-2,2,0,0,2,0
36,Cruz Azul,3,1,0,1,V,1,1,1,0,0,3,1,2,3,-1,3,1,0,2,3
37,Cruz Azul,4,4,1,5,L,3,1,1,0,0,3,5,3,8,2,4,2,0,2,6
38,Cruz Azul,5,2,0,2,V,2,1,1,0,0,3,7,3,10,4,5,3,0,2,9
39,Cruz Azul,6,2,0,2,V,2,1,1,0,0,3,9,3,12,6,6,4,0,2,12
40,Cruz Azul,7,3,2,5,L,1,1,1,0,0,3,12,5,17,7,7,5,0,2,15
41,Cruz Azul,8,1,0,1,V,1,1,1,0,0,3,13,5,18,8,8,6,0,2,18
42,Cruz Azul,9,1,0,1,L,1,1,1,0,0,3,14,5,19,9,9,7,0,2,21
43,Cruz Azul,10,1,0,1,V,1,1,1,0,0,3,15,5,20,10,10,8,0,2,24
44,Cruz Azul,11,1,0,1,L,1,1,1,0,0,3,16,5,21,11,11,9,0,2,27
45,Cruz Azul,12,3,2,5,L,1,1,1,0,0,3,19,7,26,12,12,10,0,2,30
46,Cruz Azul,13,1,0,1,V,1,1,1,0,0,3,20,7,27,13,13,11,0,2,33
47,Cruz Azul,14,1,0,1,L,1,1,1,0,0,3,21,7,28,14,14,12,0,2,36
48,Cruz Azul,15,1,1,2,V,0,1,0,1,0,1,22,8,30,14,15,12,1,2,37
49,Cruz Azul,16,3,2,5,L,1,1,1,0,0,3,25,10,35,15,16,13,1,2,40
50,Cruz Azul,17,1,1,2,L,0,1,0,1,0,1,26,11,37,15,17,13,2,2,41
51,Guadalajara,1,1,1,2,V,0,1,0,1,0,1,1,1,2,0,1,0,1,0,1
52,Guadalajara,2,1,1,2,L,0,1,0,1,0,1,2,2,4,0,2,0,2,0,2
53,Guadalajara,3,1,3,4,V,-2,1,0,0,1,0,3,5,8,-2,3,0,2,1,2
54,Guadalajara,4,1,2,3,L,-1,1,0,0,1,0,4,7,11,-3,4,0,2,2,2
55,Guadalajara,5,3,1,4,V,2,1,1,0,0,3,7,8,15,-1,5,1,2,2,5
56,Guadalajara,6,2,2,4,L,0,1,0,1,0,1,9,10,19,-1,6,1,3,2,6
57,Guadalajara,7,1,1,2,V,0,1,0,1,0,1,10,11,21,-1,7,1,4,2,7
58,Guadalajara,8,2,1,3,L,1,1,1,0,0,3,12,12,24,0,8,2,4,2,10
59,Guadalajara,9,2,2,4,V,0,1,0,1,0,1,14,14,28,0,9,2,5,2,11
60,Guadalajara,10,1,1,2,V,0,1,0,1,0,1,15,15,30,0,10,2,6,2,12
61,Guadalajara,11,0,3,3,L,-3,1,0,0,1,0,15,18,33,-3,11,2,6,3,12
62,Guadalajara,12,2,1,3,V,1,1,1,0,0,3,17,19,36,-2,12,3,6,3,15
63,Guadalajara,13,1,1,2,L,0,1,0,1,0,1,18,20,38,-2,13,3,7,3,16
64,Guadalajara,14,0,1,1,V,-1,1,0,0,1,0,18,21,39,-3,14,3,7,4,16
65,Guadalajara,15,2,0,2,L,2,1,1,0,0,3,20,21,41,-1,15,4,7,4,19
66,Guadalajara,16,1,0,1,V,1,1,1,0,0,3,21,21,42,0,16,5,7,4,22
67,Guadalajara,17,0,0,0,L,0,1,0,1,0,1,21,21,42,0,17,5,8,4,23
68,Juárez,1,1,1,2,V,0,1,0,1,0,1,1,1,2,0,1,0,1,0,1
69,Juárez,2,0,0,0,L,0,1,0,1,0,1,1,1,2,0,2,0,2,0,2
70,Juárez,3,0,2,2,V,-2,1,0,0,1,0,1,3,4,-2,3,0,2,1,2
71,Juárez,4,2,1,3,V,1,1,1,0,0,3,3,4,7,-1,4,1,2,1,5
72,Juárez,5,2,3,5,L,-1,1,0,0,1,0,5,7,12,-2,5,1,2,2,5
73,Juárez,6,0,4,4,V,-4,1,0,0,1,0,5,11,16,-6,6,1,2,3,5
74,Juárez,7,1,0,1,L,1,1,1,0,0,3,6,11,17,-5,7,2,2,3,8
75,Juárez,8,2,3,5,V,-1,1,0,0,1,0,8,14,22,-6,8,2,2,4,8
76,Juárez,9,1,6,7,L,-5,1,0,0,1,0,9,20,29,-11,9,2,2,5,8
77,Juárez,10,0,2,2,V,-2,1,0,0,1,0,9,22,31,-13,10,2,2,6,8
78,Juárez,11,1,1,2,L,0,1,0,1,0,1,10,23,33,-13,11,2,3,6,9
79,Juárez,12,0,1,1,V,-1,1,0,0,1,0,10,24,34,-14,12,2,3,7,9
80,Juárez,13,0,1,1,L,-1,1,0,0,1,0,10,25,35,-15,13,2,3,8,9
81,Juárez,14,2,1,3,L,1,1,1,0,0,3,12,26,38,-14,14,3,3,8,12
82,Juárez,15,0,2,2,V,-2,1,0,0,1,0,12,28,40,-16,15,3,3,9,12
83,Juárez,16,0,1,1,V,-1,1,0,0,1,0,12,29,41,-17,16,3,3,10,12
84,Juárez,17,1,0,1,L,1,1,1,0,0,3,13,29,42,-16,17,4,3,10,15
85,León,1,0,2,2,V,-2,1,0,0,1,0,0,2,2,-2,1,0,0,1,0
86,León,2,0,0,0,L,0,1,0,1,0,1,0,2,2,-2,2,0,1,1,1
87,León,3,1,1,2,V,0,1,0,1,0,1,1,3,4,-2,3,0,2,1,2
88,León,4,3,1,4,L,2,1,1,0,0,3,4,4,8,0,4,1,2,1,5
89,León,5,1,3,4,L,-2,1,0,0,1,0,5,7,12,-2,5,1,2,2,5
90,León,6,0,2,2,V,-2,1,0,0,1,0,5,9,14,-4,6,1,2,3,5
91,León,7,1,0,1,V,1,1,1,0,0,3,6,9,15,-3,7,2,2,3,8
92,León,8,0,1,1,L,-1,1,0,0,1,0,6,10,16,-4,8,2,2,4,8
93,León,9,1,2,3,L,-1,1,0,0,1,0,7,12,19,-5,9,2,2,5,8
94,León,10,1,2,3,V,-1,1,0,0,1,0,8,14,22,-6,10,2,2,6,8
95,León,11,3,1,4,L,2,1,1,0,0,3,11,15,26,-4,11,3,2,6,11
96,León,12,2,1,3,V,1,1,1,0,0,3,13,16,29,-3,12,4,2,6,14
97,León,13,2,1,3,L,1,1,1,0,0,3,15,17,32,-2,13,5,2,6,17
98,León,14,3,1,4,V,2,1,1,0,0,3,18,18,36,0,14,6,2,6,20
99,León,15,2,0,2,L,2,1,1,0,0,3,20,18,38,2,15,7,2,6,23
100,León,16,3,4,7,V,-1,1,0,0,1,0,23,22,45,1,16,7,2,7,23
101,León,17,2,1,3,L,1,1,1,0,0,3,25,23,48,2,17,8,2,7,26
102,Mazatlán,1,3,2,5,L,1,1,1,0,0,3,3,2,5,1,1,1,0,0,3
103,Mazatlán,2,0,3,3,V,-3,1,0,0,1,0,3,5,8,-2,2,1,0,1,3
104,Mazatlán,3,0,0,0,L,0,1,0,1,0,1,3,5,8,-2,3,1,1,1,4
105,Mazatlán,4,1,0,1,L,1,1,1,0,0,3,4,5,9,-1,4,2,1,1,7
106,Mazatlán,5,1,4,5,V,-3,1,0,0,1,0,5,9,14,-4,5,2,1,2,7
107,Mazatlán,6,0,3,3,L,-3,1,0,0,1,0,5,12,17,-7,6,2,1,3,7
108,Mazatlán,7,0,1,1,V,-1,1,0,0,1,0,5,13,18,-8,7,2,1,4,7
109,Mazatlán,8,3,0,3,L,3,1,1,0,0,3,8,13,21,-5,8,3,1,4,10
110,Mazatlán,9,0,1,1,V,-1,1,0,0,1,0,8,14,22,-6,9,3,1,5,10
111,Mazatlán,10,1,1,2,L,0,1,0,1,0,1,9,15,24,-6,10,3,2,5,11
112,Mazatlán,11,2,1,3,V,1,1,1,0,0,3,11,16,27,-5,11,4,2,5,14
113,Mazatlán,12,0,1,1,L,-1,1,0,0,1,0,11,17,28,-6,12,4,2,6,14
114,Mazatlán,13,1,3,4,V,-2,1,0,0,1,0,12,20,32,-8,13,4,2,7,14
115,Mazatlán,14,3,2,5,V,1,1,1,0,0,3,15,22,37,-7,14,5,2,7,17
116,Mazatlán,15,0,0,0,L,0,1,0,1,0,1,15,22,37,-7,15,5,3,7,18
117,Mazatlán,16,4,3,7,L,1,1,1,0,0,3,19,25,44,-6,16,6,3,7,21
118,Mazatlán,17,0,1,1,V,-1,1,0,0,1,0,19,26,45,-7,17,6,3,8,21
119,Monterrey,1,2,0,2,V,2,1,1,0,0,3,2,0,2,2,1,1,0,0,3
120,Monterrey,2,1,0,1,L,1,1,1,0,0,3,3,0,3,3,2,2,0,0,6
121,Monterrey,3,1,1,2,L,0,1,0,1,0,1,4,1,5,3,3,2,1,0,7
122,Monterrey,4,0,0,0,V,0,1,0,1,0,1,4,1,5,3,4,2,2,0,8
123,Monterrey,5,1,0,1,L,1,1,1,0,0,3,5,1,6,4,5,3,2,0,11
124,Monterrey,6,0,1,1,V,-1,1,0,0,1,0,5,2,7,3,6,3,2,1,11
125,Monterrey,7,1,1,2,V,0,1,0,1,0,1,6,3,9,3,7,3,3,1,12
126,Monterrey,8,1,1,2,L,0,1,0,1,0,1,7,4,11,3,8,3,4,1,13
127,Monterrey,9,6,1,7,V,5,1,1,0,0,3,13,5,18,8,9,4,4,1,16
